time	type	subtype	content
205.241	event	timer	timer_event
205.247	print	task	0.1678638
205.298	state		release
205.450	event	timer	timer_event
205.502	state		release
205.654	event	timer	timer_event
205.706	state		release
205.858	event	timer	timer_event
205.910	state		release
206.062	event	timer	timer_event
206.068	print	task	0.2258615
206.169	state		post_release
206.176	variable	print	{"poke": "C3", "release_duration": 150, "n_release": 20, "release_weight": 0.1890898}
206.276	state		calibration_init
206.276	print	task	Ready to calibrate release duration: 200, press go.
240.207	event	user	go
240.207	state		pre_release
240.312	state		release
240.512	event	timer	timer_event
240.562	state		release
240.762	event	timer	timer_event
240.812	state		release
241.012	event	timer	timer_event
241.062	state		release
241.262	event	timer	timer_event
241.266	print	task	0.1801209
241.316	state		release
241.516	event	timer	timer_event
241.566	state		release
241.766	event	timer	timer_event
241.816	state		release
242.016	event	timer	timer_event
242.066	state		release
242.266	event	timer	timer_event
242.270	print	task	0.3781796
242.370	state		post_release
242.375	variable	print	{"poke": "A1", "release_duration": 200, "n_release": 8, "release_weight": 0.24051}
242.475	state		pre_release
242.582	state		release
242.784	event	timer	timer_event
242.836	state		release
243.038	event	timer	timer_event
243.090	state		release
243.292	event	timer	timer_event
243.344	state		release
243.546	event	timer	timer_event
243.552	print	task	0.1029906
243.603	state		release
243.805	event	timer	timer_event
243.857	state		release
244.059	event	timer	timer_event
244.111	state		release
244.313	event	timer	timer_event
244.365	state		release
244.567	event	timer	timer_event
244.573	print	task	0.3422675
244.674	state		post_release
244.681	variable	print	{"poke": "A2", "release_duration": 200, "n_release": 8, "release_weight": 0.2669683}
244.781	state		pre_release
244.888	state		release
245.090	event	timer	timer_event
245.142	state		release
245.344	event	timer	timer_event
245.396	state		release
245.598	event	timer	timer_event
245.650	state		release
245.852	event	timer	timer_event
245.858	print	task	0.01543331
245.909	state		release
246.111	event	timer	timer_event
246.163	state		release
246.365	event	timer	timer_event
246.417	state		release
246.619	event	timer	timer_event
246.671	state		release
246.873	event	timer	timer_event
246.879	print	task	0.06012726
246.930	state		release
247.132	event	timer	timer_event
247.184	state		release
247.386	event	timer	timer_event
247.438	state		release
247.640	event	timer	timer_event
247.692	state		release
247.894	event	timer	timer_event
247.900	print	task	0.09106922
247.951	state		release
248.153	event	timer	timer_event
248.205	state		release
248.407	event	timer	timer_event
248.459	state		release
248.661	event	timer	timer_event
248.713	state		release
248.915	event	timer	timer_event
248.921	print	task	0.1705918
248.972	state		release
249.174	event	timer	timer_event
249.226	state		release
249.428	event	timer	timer_event
249.480	state		release
249.682	event	timer	timer_event
249.734	state		release
249.936	event	timer	timer_event
249.942	print	task	0.181952
249.993	state		release
250.195	event	timer	timer_event
250.247	state		release
250.449	event	timer	timer_event
250.501	state		release
250.703	event	timer	timer_event
250.755	state		release
250.957	event	timer	timer_event
250.963	print	task	0.2302337
251.064	state		post_release
251.071	variable	print	{"poke": "A3", "release_duration": 200, "n_release": 24, "release_weight": 0.22545}
251.171	state		pre_release
251.278	state		release
251.480	event	timer	timer_event
251.532	state		release
251.734	event	timer	timer_event
251.786	state		release
251.988	event	timer	timer_event
252.040	state		release
252.242	event	timer	timer_event
252.248	print	task	0.1433496
252.299	state		release
252.501	event	timer	timer_event
252.553	state		release
252.755	event	timer	timer_event
252.807	state		release
253.009	event	timer	timer_event
253.061	state		release
253.263	event	timer	timer_event
253.269	print	task	0.3327384
253.370	state		post_release
253.377	variable	print	{"poke": "B1", "release_duration": 200, "n_release": 8, "release_weight": 0.2529168}
253.477	state		pre_release
253.584	state		release
253.786	event	timer	timer_event
253.838	state		release
254.040	event	timer	timer_event
254.092	state		release
254.294	event	timer	timer_event
254.346	state		release
254.548	event	timer	timer_event
254.554	print	task	0.138454
254.605	state		release
254.807	event	timer	timer_event
254.859	state		release
255.061	event	timer	timer_event
255.113	state		release
255.315	event	timer	timer_event
255.367	state		release
255.569	event	timer	timer_event
255.575	print	task	0.3215647
255.676	state		post_release
255.683	variable	print	{"poke": "B2", "release_duration": 200, "n_release": 8, "release_weight": 0.2713399}
255.783	state		pre_release
255.890	state		release
256.092	event	timer	timer_event
256.144	state		release
256.346	event	timer	timer_event
256.398	state		release
256.600	event	timer	timer_event
256.652	state		release
256.857	event	timer	timer_event
256.864	print	task	0.2128568
256.964	state		post_release
256.971	variable	print	{"poke": "B3", "release_duration": 200, "n_release": 4, "release_weight": 0.1237683}
257.071	state		pre_release
257.178	state		release
257.380	event	timer	timer_event
257.432	state		release
257.634	event	timer	timer_event
257.686	state		release
257.888	event	timer	timer_event
257.940	state		release
258.142	event	timer	timer_event
258.148	print	task	0.1885481
258.199	state		release
258.401	event	timer	timer_event
258.453	state		release
258.655	event	timer	timer_event
258.707	state		release
258.909	event	timer	timer_event
258.961	state		release
259.163	event	timer	timer_event
259.169	print	task	0.372798
259.270	state		post_release
259.277	variable	print	{"poke": "C1", "release_duration": 200, "n_release": 8, "release_weight": 0.3389225}
259.377	state		pre_release
259.484	state		release
259.686	event	timer	timer_event
259.738	state		release
259.940	event	timer	timer_event
259.992	state		release
260.194	event	timer	timer_event
260.246	state		release
260.448	event	timer	timer_event
260.454	print	task	0.1189842
260.505	state		release
260.707	event	timer	timer_event
260.759	state		release
260.961	event	timer	timer_event
261.013	state		release
261.215	event	timer	timer_event
261.267	state		release
261.469	event	timer	timer_event
261.475	print	task	0.2237692
261.576	state		post_release
261.583	variable	print	{"poke": "C2", "release_duration": 200, "n_release": 8, "release_weight": 0.1671162}
261.683	state		pre_release
261.790	state		release
261.992	event	timer	timer_event
262.044	state		release
262.246	event	timer	timer_event
262.298	state		release
262.500	event	timer	timer_event
262.552	state		release
262.754	event	timer	timer_event
262.760	print	task	0.06989956
262.811	state		release
263.013	event	timer	timer_event
263.065	state		release
263.267	event	timer	timer_event
263.319	state		release
263.521	event	timer	timer_event
263.573	state		release
263.775	event	timer	timer_event
263.781	print	task	0.1172848
263.832	state		release
264.034	event	timer	timer_event
264.086	state		release
264.288	event	timer	timer_event
264.340	state		release
264.542	event	timer	timer_event
264.594	state		release
264.796	event	timer	timer_event
264.802	print	task	0.1654167
264.853	state		release
265.055	event	timer	timer_event
265.107	state		release
265.309	event	timer	timer_event
265.361	state		release
265.563	event	timer	timer_event
265.615	state		release
265.817	event	timer	timer_event
265.823	print	task	0.2090635
265.924	state		post_release
265.931	variable	print	{"poke": "C3", "release_duration": 200, "n_release": 16, "release_weight": 0.1993475}
